nome_rio;nivel_rio;vlr_nivel_rio;uni_nivel_rio;chuva_total;vlr_chuva;uni_chuva;temperatura;vlr_temp;uni_temp;umidade;vlr_umidade;uni_umidade;pressao;vlr_pressao;uni_pressao;status;vento;vlr_vento;uni_vento;direcao;leitura
Ponte Dom Tito Buss     -     Rio Itajaí-Açu    Rio do Sul;Nivel do Rio;218;cm;Chuva;0;mm;Temperatura;26.6º;Graus;Umidade;65%;%;Pressão Atmosférica;1012.3;hPa;caindo;Vento;0;km/h;Leste;Leitura realizada em 04/01/2024 às 13:35
Ponte Hannelore Hartmann Eyng - Rio Itajaí do Sul Rio do Sul;Nível do Rio;970;cm;Chuva;66;mm;Temperatura;21.1º;Graus;Umidade;83%;%;Pressão Atmosférica;1005.6;hPa;caindo;Vento;0;km/h;Norte;Leitura realizada em 17/11/2023 às 14:20
Ponte BR-470 - Rio Itajaí do Oeste Rio do Sul;Nível do Rio;---;;Chuva;0;mm;Temperatura;27.9º;Graus;Umidade;70%;%;Pressão Atmosférica;1012.8;hPa;caindo;Vento;0;km/h;Nordeste;Leitura realizada em 04/01/2024 às 13:35
