nome_rio;nivel_rio;vlr_nivel_rio;uni_nivel_rio;chuva_total;vlr_chuva;uni_chuva;temperatura;vlr_temp;uni_temp;umidade;vlr_umidade;uni_umidade;pressao;vlr_pressao;uni_pressao;status;vento;vlr_vento;uni_vento;direcao;leitura
Ponte Dom Tito Buss     -     Rio Itajaí-Açu    Rio do Sul;Nivel do Rio;477;cm;Chuva;0.2;mm;Temperatura;14.6º;Graus;Umidade;87%;%;Pressão Atmosférica;1023.6;hPa;subindo;Vento;0;km/h;Sudoeste;Leitura realizada em 23/07/2024 às 22:15
Ponte Hannelore Hartmann Eyng - Rio Itajaí do Sul Rio do Sul;Nível do Rio;451;cm;Chuva;0.2;mm;Temperatura;14º;Graus;Umidade;31%;%;Pressão Atmosférica;1023.4;hPa;subindo;Vento;0;km/h;Sul;Leitura realizada em 23/07/2024 às 22:15
Ponte BR-470 - Rio Itajaí do Oeste Rio do Sul;Nível do Rio;472;cm;Chuva;0.2;mm;Temperatura;13.6º;Graus;Umidade;97%;%;Pressão Atmosférica;1025.1;hPa;subindo;Vento;0;km/h;Norte;Leitura realizada em 23/07/2024 às 22:15
