nome_rio;nivel_rio;vlr_nivel_rio;uni_nivel_rio;chuva_total;vlr_chuva;uni_chuva;temperatura;vlr_temp;uni_temp;umidade;vlr_umidade;uni_umidade;pressao;vlr_pressao;uni_pressao;status;vento;vlr_vento;uni_vento;direcao;leitura
Ponte Dom Tito Buss     -     Rio Itajaí-Açu    Rio do Sul;Nivel do Rio;196;cm;Chuva;0.2;mm;Temperatura;19.8º;Graus;Umidade;87%;%;Pressão Atmosférica;1017.5;hPa;subindo;Vento;0;km/h;Nordeste;Leitura realizada em 05/08/2024 às 20:00
Ponte Hannelore Hartmann Eyng - Rio Itajaí do Sul Rio do Sul;Nível do Rio;165;cm;Chuva;0.8;mm;Temperatura;19.3º;Graus;Umidade;48%;%;Pressão Atmosférica;1017.3;hPa;subindo;Vento;0;km/h;Sul;Leitura realizada em 05/08/2024 às 20:00
Ponte BR-470 - Rio Itajaí do Oeste Rio do Sul;Nível do Rio;182;cm;Chuva;1.2;mm;Temperatura;19.8º;Graus;Umidade;96%;%;Pressão Atmosférica;1019;hPa;subindo;Vento;0;km/h;Nordeste;Leitura realizada em 05/08/2024 às 20:00
