nome_rio;nivel_rio;vlr_nivel_rio;uni_nivel_rio;chuva_total;vlr_chuva;uni_chuva;temperatura;vlr_temp;uni_temp;umidade;vlr_umidade;uni_umidade;pressao;vlr_pressao;uni_pressao;status;vento;vlr_vento;uni_vento;direcao;leitura
Ponte Hannelore Hartmann Eyng - Rio Itajaí do Sul Rio do Sul;Nível do Rio;1181;cm;Chuva;56.2;mm;Temperatura;16.3º;Graus;Umidade;85%;%;Pressão Atmosférica;1009.9;hPa;subindo;Vento;0;km/h;Sudoeste;Leitura realizada em 12/10/2023 às 11:45
Ponte Dom Tito Buss     -     Rio Itajaí-Açu    Rio do Sul;Nivel do Rio;1085;cm;Chuva;48.8;mm;Temperatura;16.7º;Graus;Umidade;98%;%;Pressão Atmosférica;1009.3;hPa;estável;Vento;0;km/h;Oeste;Leitura realizada em 12/10/2023 às 12:05
Ponte BR-470 - Rio Itajaí do Oeste Rio do Sul;Nível do Rio;1033;cm;Chuva;63.6;mm;Temperatura;16.6º;Graus;Umidade;100%;%;Pressão Atmosférica;1011.1;hPa;estável;Vento;0;km/h;Sudoeste;Leitura realizada em 12/10/2023 às 12:05
Ponte Hannelore Hartmann Eyng - Rio Itajaí do Sul Rio do Sul;Nível do Rio;1188;cm;Chuva;56.4;mm;Temperatura;16.5º;Graus;Umidade;85%;%;Pressão Atmosférica;1009.3;hPa;estável;Vento;0;km/h;Sudoeste;Leitura realizada em 12/10/2023 às 12:05
Ponte Dom Tito Buss     -     Rio Itajaí-Açu    Rio do Sul;Nivel do Rio;1088;cm;Chuva;49.2;mm;Temperatura;16.9º;Graus;Umidade;98%;%;Pressão Atmosférica;1009.9;hPa;estável;Vento;0;km/h;Oeste;Leitura realizada em 12/10/2023 às 12:20
Ponte BR-470 - Rio Itajaí do Oeste Rio do Sul;Nível do Rio;1035;cm;Chuva;63.8;mm;Temperatura;16.7º;Graus;Umidade;100%;%;Pressão Atmosférica;1011.5;hPa;estável;Vento;0;km/h;Oeste;Leitura realizada em 12/10/2023 às 12:20
Ponte Hannelore Hartmann Eyng - Rio Itajaí do Sul Rio do Sul;Nível do Rio;1192;cm;Chuva;56.4;mm;Temperatura;16.6º;Graus;Umidade;86%;%;Pressão Atmosférica;1009.9;hPa;estável;Vento;0;km/h;Sudoeste;Leitura realizada em 12/10/2023 às 12:20
Ponte Dom Tito Buss     -     Rio Itajaí-Açu    Rio do Sul;Nivel do Rio;1090;cm;Chuva;49.2;mm;Temperatura;16.8º;Graus;Umidade;98%;%;Pressão Atmosférica;1010.3;hPa;estável;Vento;0;km/h;Oeste;Leitura realizada em 12/10/2023 às 12:35
Ponte BR-470 - Rio Itajaí do Oeste Rio do Sul;Nível do Rio;1038;cm;Chuva;63.8;mm;Temperatura;16.3º;Graus;Umidade;100%;%;Pressão Atmosférica;1012.2;hPa;estável;Vento;0;km/h;Sudoeste;Leitura realizada em 12/10/2023 às 12:35
Ponte Hannelore Hartmann Eyng - Rio Itajaí do Sul Rio do Sul;Nível do Rio;1184;cm;Chuva;56.4;mm;Temperatura;16.3º;Graus;Umidade;85%;%;Pressão Atmosférica;1010.3;hPa;estável;Vento;0;km/h;Oeste;Leitura realizada em 12/10/2023 às 12:35
Ponte Dom Tito Buss     -     Rio Itajaí-Açu    Rio do Sul;Nivel do Rio;1093;cm;Chuva;49.2;mm;Temperatura;16.7º;Graus;Umidade;98%;%;Pressão Atmosférica;1011.3;hPa;estável;Vento;0;km/h;Noroeste;Leitura realizada em 12/10/2023 às 12:50
Ponte BR-470 - Rio Itajaí do Oeste Rio do Sul;Nível do Rio;1039;cm;Chuva;64.4;mm;Temperatura;16.5º;Graus;Umidade;100%;%;Pressão Atmosférica;1012.9;hPa;subindo;Vento;0;km/h;Oeste;Leitura realizada em 12/10/2023 às 12:50
Ponte Hannelore Hartmann Eyng - Rio Itajaí do Sul Rio do Sul;Nível do Rio;1198;cm;Chuva;56.6;mm;Temperatura;16.3º;Graus;Umidade;85%;%;Pressão Atmosférica;1011.2;hPa;estável;Vento;0;km/h;Oeste;Leitura realizada em 12/10/2023 às 12:50
Ponte Dom Tito Buss     -     Rio Itajaí-Açu    Rio do Sul;Nivel do Rio;1103;cm;Chuva;52.8;mm;Temperatura;16.6º;Graus;Umidade;98%;%;Pressão Atmosférica;1010.5;hPa;estável;Vento;0;km/h;Oeste;Leitura realizada em 12/10/2023 às 13:45
Ponte BR-470 - Rio Itajaí do Oeste Rio do Sul;Nível do Rio;1045;cm;Chuva;67.6;mm;Temperatura;16.8º;Graus;Umidade;100%;%;Pressão Atmosférica;1012.2;hPa;estável;Vento;0;km/h;Sudoeste;Leitura realizada em 12/10/2023 às 13:45
Ponte Hannelore Hartmann Eyng - Rio Itajaí do Sul Rio do Sul;Nível do Rio;1204;cm;Chuva;59.4;mm;Temperatura;16.7º;Graus;Umidade;87%;%;Pressão Atmosférica;1010.4;hPa;estável;Vento;0;km/h;Noroeste;Leitura realizada em 12/10/2023 às 13:45
Ponte Dom Tito Buss     -     Rio Itajaí-Açu    Rio do Sul;Nivel do Rio;1144;cm;Chuva;53.6;mm;Temperatura;17.7º;Graus;Umidade;92%;%;Pressão Atmosférica;1010.8;hPa;estável;Vento;0;km/h;Sudeste;Leitura realizada em 12/10/2023 às 17:35
Ponte BR-470 - Rio Itajaí do Oeste Rio do Sul;Nível do Rio;1074;cm;Chuva;68.6;mm;Temperatura;17.2º;Graus;Umidade;100%;%;Pressão Atmosférica;1012.5;hPa;subindo;Vento;0;km/h;Sudeste;Leitura realizada em 12/10/2023 às 17:35
Ponte Hannelore Hartmann Eyng - Rio Itajaí do Sul Rio do Sul;Nível do Rio;1268;cm;Chuva;60.2;mm;Temperatura;16.8º;Graus;Umidade;84%;%;Pressão Atmosférica;1010.8;hPa;subindo;Vento;0;km/h;Sudoeste;Leitura realizada em 12/10/2023 às 17:35
Ponte Dom Tito Buss     -     Rio Itajaí-Açu    Rio do Sul;Nivel do Rio;1148;cm;Chuva;54.6;mm;Temperatura;17.3º;Graus;Umidade;93%;%;Pressão Atmosférica;1012.3;hPa;subindo;Vento;0;km/h;Sudeste;Leitura realizada em 12/10/2023 às 18:25
Ponte BR-470 - Rio Itajaí do Oeste Rio do Sul;Nível do Rio;1080;cm;Chuva;69.4;mm;Temperatura;16.3º;Graus;Umidade;99%;%;Pressão Atmosférica;1013.9;hPa;subindo;Vento;0;km/h;Sudeste;Leitura realizada em 12/10/2023 às 18:25
Ponte Hannelore Hartmann Eyng - Rio Itajaí do Sul Rio do Sul;Nível do Rio;1262;cm;Chuva;61.0;mm;Temperatura;16.6º;Graus;Umidade;84%;%;Pressão Atmosférica;1012.4;hPa;subindo;Vento;0;km/h;Noroeste;Leitura realizada em 12/10/2023 às 18:25
Ponte Dom Tito Buss     -     Rio Itajaí-Açu    Rio do Sul;Nivel do Rio;1162;cm;Chuva;54.8;mm;Temperatura;16.1º;Graus;Umidade;94%;%;Pressão Atmosférica;1014.6;hPa;subindo rápido;Vento;0;km/h;Leste;Leitura realizada em 12/10/2023 às 20:20
Ponte BR-470 - Rio Itajaí do Oeste Rio do Sul;Nível do Rio;1091;cm;Chuva;69.4;mm;Temperatura;15.7º;Graus;Umidade;99%;%;Pressão Atmosférica;1016.0;hPa;subindo rápido;Vento;0;km/h;Nordeste;Leitura realizada em 12/10/2023 às 20:20
Ponte Hannelore Hartmann Eyng - Rio Itajaí do Sul Rio do Sul;Nível do Rio;1257;cm;Chuva;61.0;mm;Temperatura;15.3º;Graus;Umidade;10%;%;Pressão Atmosférica;1014.5;hPa;subindo rápido;Vento;0;km/h;Sul;Leitura realizada em 12/10/2023 às 20:20
